mega_time_ms,esp_time_ms,servo1_us,servo2_us,esp_ax,esp_ay,esp_az,esp_gx,esp_gy,esp_gz,gy87_ax,gy87_ay,gy87_az,gy87_gx,gy87_gy,gy87_gz,Touch
2534,1541,1508,1509,-12368,-4164,8744,-213,-246,-23,5068,1420,-17400,-327,127,-217,0
2554,1561,1515,1517,-12304,-3584,8752,-267,-107,10,4996,1380,-17192,-371,191,27,0
2574,1581,1523,1526,-10488,-3720,8812,-493,-283,324,5060,1280,-17344,-436,404,1616,0
2594,1601,1530,1534,-10376,-3060,9140,-793,1403,556,5176,1124,-17480,-103,409,-690,0
2614,1621,1538,1542,-8524,-2344,12972,-595,1423,1366,5036,116,-17824,55,740,2589,0
2634,1641,1545,1550,-5428,-3880,4612,-570,8796,1038,4944,2216,-17056,566,2043,2355,0
2654,1661,1553,1559,-1840,-4632,8904,-682,5510,2888,1588,2448,-14752,164,-305,-835,0
2674,1681,1560,1567,-8980,-532,10104,-1026,9874,6539,7108,-132,-17080,1127,1985,1648,0
2694,1701,1567,1574,-7988,-152,9344,-1089,8881,1983,5132,2004,-15992,1540,1587,6281,0
2714,1721,1575,1582,-18300,-9164,2892,199,-3094,2040,4168,216,-14760,-900,1311,-1576,0
2734,1741,1582,1589,-32768,-7648,7380,-399,149,444,5260,1536,-17636,307,1639,1407,0
2754,1761,1589,1596,-23560,-7248,4468,-984,-800,2878,5904,632,-17124,777,-1213,-1108,0
2775,1781,1596,1603,-4712,-1320,11568,347,-1613,-1647,5360,-44,-18036,-1086,-281,-1923,0
2794,1801,1603,1610,-5848,2948,10588,-820,9835,436,32767,-4832,-32768,-2171,-2190,-1716,0
2813,1821,1610,1616,9152,-100,7024,-741,10409,2565,8416,-3896,-30376,-809,-6586,2877,0
2834,1841,1617,1622,-10300,-584,6184,-1640,15226,2707,5600,3728,-26136,-3180,577,-546,0
2854,1861,1624,1628,-11304,15704,-3824,-4163,11142,10302,10448,-1456,-23968,1390,-2136,1914,0
2874,1881,1631,1634,-32768,4400,-5360,-8620,6657,1774,5276,2592,-18640,-1070,1059,-2773,0
2894,1901,1638,1639,-32768,14164,3124,-13011,-7974,11278,4604,1440,-15256,5269,-4144,4499,0
2914,1921,1645,1644,-4092,-8236,2652,-13901,-7360,1415,5392,-392,-15672,1128,825,2914,0
2934,1941,1651,1648,15740,-17828,-712,-12340,-1184,10526,4808,-1708,-17168,1627,454,2902,0
2954,1961,1658,1652,-3400,-18588,12804,-4956,2768,1926,6396,848,-15928,-1858,118,11669,0
2974,1981,1664,1656,-15388,-24560,-1292,200,10303,3707,4352,3412,-19352,2585,156,-2668,0
2994,2001,1670,1659,-9664,-2096,4248,2918,4399,4542,4176,-2452,-15396,-63,-686,4701,0
3014,2021,1676,1662,-32768,15160,6004,126,12981,2454,6520,480,-17556,-2262,-774,-3903,0
3034,2041,1682,1664,-32768,15976,916,-3593,-953,2972,4524,3536,-17020,127,-275,3377,0
3054,2061,1688,1666,-26444,2976,7060,-8233,-4338,4567,4504,-1752,-20328,3841,-2253,685,0
3074,2081,1694,1668,292,-11160,6324,-6096,-3042,-708,5180,1688,-14936,322,-160,6294,0
3094,2101,1700,1669,-5292,-8768,608,-5532,1612,7058,4312,-68,-16664,-735,633,-2052,0
3113,2121,1705,1670,-7104,10260,5944,-6995,3410,5749,5232,-2936,-16888,-144,-1730,7049,0
3134,2141,1711,1670,-9432,5284,-1196,-9867,5730,7123,3764,3696,-17420,-327,1067,1527,0
3154,2161,1716,1670,-11036,-10040,2700,-9232,3975,2806,296,1300,-12544,-1143,-1241,-6614,0
3174,2181,1721,1669,-16384,-31248,228,-4582,6549,5667,4044,628,-12596,-2153,-1872,-3920,0
3194,2201,1726,1668,-26548,-24364,-996,534,6808,1623,2708,-5728,-16320,-2818,-26,-3578,0
3214,2221,1731,1667,-32768,-4048,3372,3960,-148,-2013,1772,1924,-13244,-1672,-1979,3070,0
3234,2241,1736,1665,-24660,23768,9828,1302,-9282,603,3884,468,-17948,-691,-1923,2450,0
3254,2261,1740,1663,-3000,11496,1932,-2088,1242,-3311,4696,1416,-17812,765,-689,-37,0
3273,2281,1745,1660,-100,-13156,352,-3501,1979,851,4580,1768,-14448,-450,731,1575,0
3294,2301,1749,1657,-12020,216,-196,-4054,1271,8699,3964,-1812,-13568,-1017,666,-1502,0
3314,2321,1753,1654,-26076,16460,4452,-7063,-1506,6141,3764,-1600,-18784,-23,-1257,5309,0
3334,2341,1757,1650,-32768,-2148,3920,-7526,1568,1661,5624,-1872,-16304,520,-278,-4684,0
3354,2361,1761,1646,-24048,-23100,3876,-3338,-7595,-3117,3828,3576,-15596,-1618,992,51,0
3375,2381,1765,1641,-17084,-29896,-4416,1675,-8221,-6128,-220,468,-16400,-696,-32,-9183,0
3394,2401,1768,1636,-4132,-6964,572,4322,-8093,-2967,4952,-144,-15472,-2135,-888,-1141,0
3414,2421,1771,1631,-1200,18404,5740,1769,-5182,-407,3988,376,-18188,-1189,-1797,-1901,0
3434,2441,1775,1625,-2528,14536,5384,-1757,805,-2619,4524,684,-18004,-929,52,2237,0
3454,2461,1778,1619,-20120,-7696,2720,-4263,1622,-2246,3184,1024,-18256,-2495,3541,-5683,0
3474,2481,1780,1613,-25564,-12324,3644,-3652,-1297,1197,4420,-348,-15328,200,-482,-331,0
3494,2501,1783,1607,-21472,-4152,1968,-2816,-4803,3394,3792,-360,-22368,-837,1065,-442,0
3514,2521,1785,1600,-11472,13564,2028,-6863,-6565,3117,3740,-248,-20132,-701,397,-1488,0
3534,2541,1788,1593,-5580,-932,6820,-7407,-5563,-1293,4552,320,-16464,-1392,-65,1822,0
3554,2561,1790,1586,-3628,-27760,-900,-4855,2137,829,3944,1744,-16376,217,1638,-1992,0
3574,2581,1791,1578,-20780,-23468,5564,-637,-18,-1443,3644,-1652,-19180,-2451,1413,-6509,0
3594,2601,1793,1570,-24264,-9156,3512,2556,-1736,-1408,4228,664,-17828,82,-486,1799,0
3614,2621,1795,1563,-27072,3156,3940,2787,-4204,-6176,4340,852,-17980,-1801,-516,-3602,0
3634,2641,1796,1555,-10156,4740,4892,630,-7066,-3552,4328,1092,-16616,267,-30,-1613,0
3654,2661,1797,1546,-2808,-1064,5152,-1802,-3180,-3431,4228,-148,-18552,-1622,682,-2076,0
3674,2681,1798,1538,-2464,-9924,4052,-1878,-79,644,4172,716,-17128,-575,955,-1438,0
3694,2701,1799,1530,-25992,9076,9772,-2359,-2513,1283,4256,44,-18788,-1706,-2115,-2610,0
3714,2721,1799,1521,-28588,1596,7780,-3036,-2378,-598,4376,952,-18652,-1128,-65,3720,0
3734,2741,1800,1513,-16356,-16412,3252,-2105,-7428,-3395,4092,1476,-15848,-1585,96,-2971,0
3753,2761,1800,1504,-6384,-15564,3872,217,-2750,-2658,4404,1184,-18836,91,387,1080,0
3774,2781,1800,1496,-11404,-8380,4752,2115,-3103,-8097,3684,664,-16164,-2271,463,-4348,0
3793,2801,1800,1487,-19296,1260,4792,1352,-4321,-2985,4376,764,-17828,-419,878,-60,0
3814,2821,1799,1479,-17836,588,4624,-728,-7857,-4967,4228,1032,-18152,-1871,517,-1465,0
3834,2841,1799,1470,-8576,-10176,5848,-966,-10414,-326,4624,768,-16312,-1118,345,373,0
3854,2861,1798,1462,-8604,-8952,7020,-818,-941,-4562,3900,3180,-18104,-1599,945,1568,0
3874,2881,1797,1454,-11796,-10040,4196,1223,-2216,-5981,3972,3748,-16472,-477,-633,-151,0
3894,2901,1796,1445,-20948,-6820,4632,901,-3642,-4186,5384,816,-17312,-1088,1875,283,0
3914,2921,1795,1437,-11688,-236,6352,-421,-4620,-2666,4252,920,-18248,-1076,293,-1278,0
3934,2941,1793,1430,-7896,-5456,7916,-817,-7283,-4668,5768,748,-15812,-947,3137,-1934,0
3954,2961,1791,1422,-7516,-11044,6000,-322,-3962,-1722,5956,1332,-16136,48,2095,-2241,0
3974,2981,1790,1414,-10744,-10592,8536,447,-5406,-3707,256,1716,-15028,1402,-982,-8134,0
3994,3001,1788,1407,-10528,-7244,6340,741,-2464,-820,4620,792,-17800,-640,579,1279,0
4014,3021,1785,1400,-10708,-3784,8856,67,-1835,-3908,4452,1340,-17492,-311,1058,-167,0
4034,3041,1783,1393,-15096,-4296,9432,-987,-2048,-1442,4904,1180,-17080,-655,341,-236,0
4054,3061,1780,1387,-17944,-7164,9896,-1390,-594,-2855,4672,724,-17352,-807,737,-313,0
4074,3081,1778,1381,-14140,-10624,8576,-630,-2444,-3255,4536,1028,-17564,-768,-146,-446,0
4093,3101,1775,1375,-7744,-9808,7344,516,-3529,-3029,4624,1036,-17044,-485,755,-1212,0
4114,3121,1771,1369,-4232,-5672,8728,504,-3249,-1195,4872,804,-17792,-603,540,-470,0
4134,3141,1768,1364,-12432,-4120,12004,-356,-3796,-1173,4712,-688,-17340,-792,933,-2270,0
4154,3161,1765,1359,-17604,-4420,10500,-1300,-849,-1284,3264,3284,-20108,-1535,-3287,-5437,0
4173,3181,1761,1354,-16784,-13088,9432,12,-8352,-3967,-3224,3988,-14488,304,-301,10366,0
4194,3201,1757,1350,-12328,-12756,6108,-68,-2813,-1989,3616,2988,-14944,-300,-161,-5304,0
4213,3221,1753,1346,-152,-5676,8652,765,-4486,-3593,4908,1280,-18048,302,-373,-1125,0
4234,3241,1749,1343,-2336,-3936,8592,148,-522,-2310,4716,1696,-17184,-840,61,289,0
4254,3261,1745,1340,-17052,-4996,10996,-545,-3311,-1492,4844,-1188,-15764,146,1589,-938,0
4274,3281,1740,1337,-25476,-8688,11472,-776,-5163,1717,144,1532,-17784,-793,-1502,439,0
4294,3301,1736,1335,-19364,-12276,4568,-430,-4062,-3687,6348,512,-16776,-457,206,918,0
4314,3321,1731,1333,1132,-10284,8420,568,-5138,-2512,4536,1716,-18004,297,36,-13,0
4333,3341,1726,1332,5964,-5152,9692,603,-1794,-921,4644,1476,-17736,-504,450,-149,0
4354,3361,1721,1331,-3636,-2500,9836,-790,2234,169,4636,1680,-17624,-544,1611,-190,0
4374,3381,1716,1330,-19728,-7736,9384,-1615,2703,890,4764,1552,-17588,-205,1312,-2278,0
4393,3401,1711,1330,-20032,-12800,8572,-1172,-906,595,4604,1868,-17388,58,407,853,0
4414,3421,1705,1330,-8672,-13556,8584,103,-2163,-268,4808,1728,-17012,-142,-562,-146,0
4433,3441,1700,1331,-1584,-9092,9236,800,-535,-635,4824,1344,-17136,-428,-285,-173,0
4453,3461,1694,1332,-6760,-3436,9436,147,1318,142,4796,1512,-17960,-894,-10,-133,0
4473,3481,1688,1334,-16296,-4184,9224,-1128,722,335,4672,1664,-17068,-311,637,-1991,0
4494,3501,1682,1336,-16180,-10440,8812,-1530,-811,538,4656,1684,-17252,-24,518,1417,0
4513,3521,1676,1338,-7588,-13896,8652,-417,-1209,395,4824,1420,-17552,-190,146,-145,0
4534,3541,1670,1341,-4548,-10700,8988,688,-118,-282,4852,1484,-17396,-455,-421,-176,0
